Year,League,Player,Team,Hits
1989,AL,Kirby Puckett,Minnesota,215.0
1989,NL,Tony Gwynn,San Diego,203.0
1990,AL,Rafael Palmeiro,Texas,191.0
1990,NL,Brett Butler,San Francisco,192.0
1991,AL,Paul Molitor,Milwaukee,216.0
1991,NL,Terry Pendleton,Atlanta,187.0
1992,AL,Kirby Puckett,Minnesota,210.0
1992,NL,Terry Pendleton,Atlanta,199.0
1993,AL,Paul Molitor,Toronto,211.0
1993,NL,Lenny Dykstra,Philadelphia,194.0
1994,AL,Kenny Lofton,Cleveland,160.0
1994,NL,Tony Gwynn,San Diego,165.0
1995,AL,Lance Johnson,Chicago,186.0
1995,NL,Dante Bichette,Colorado,197.0
1996,AL,Paul Molitor,Minnesota,225.0
1996,NL,Lance Johnson,New York,227.0
1997,AL,Nomar Garciaparra,Boston,209.0
1997,NL,Tony Gwynn,San Diego,220.0
1998,AL,Alex Rodriguez,Seattle,213.0
1998,NL,Dante Bichette,Colorado,219.0
1999,AL,Derek Jeter,New York,219.0
1999,NL,Luis Gonzalez,Arizona,206.0
2000,AL,Darin Erstad,Anaheim,240.0
2000,NL,Todd Helton,Colorado,216.0
2001,AL,Ichiro Suzuki,Seattle,242.0
2001,NL,Rich Aurilia,San Francisco,206.0
2002,AL,Alfonso Soriano,New York,209.0
2002,NL,Vladimir Guerrero,Montreal,206.0
2003,AL,Vernon Wells,Toronto,215.0
2003,NL,Albert Pujols,St. Louis,212.0
2004,AL,Ichiro Suzuki,Seattle,262.0
2004,NL,Juan Pierre,Florida,221.0
2005,AL,Michael Young,Texas,221.0
2005,NL,Derrek Lee,Chicago,199.0
2006,AL,Ichiro Suzuki,Seattle,224.0
2006,NL,Juan Pierre,Chicago,204.0
2007,AL,Ichiro Suzuki,Seattle,238.0
2007,NL,Matt Holliday,Colorado,216.0
2008,AL,Dustin Pedroia,Boston,213.0
2008,NL,Jose Reyes,New York,204.0
2009,AL,Ichiro Suzuki,Seattle,225.0
2009,NL,Ryan Braun,Milwaukee,203.0
2010,AL,Ichiro Suzuki,Seattle,214.0
2010,NL,Carlos González,Colorado,197.0
2011,AL,Adrian Gonzalez,Boston,213.0
2011,NL,Starlin Castro,Chicago,207.0
2012,AL,Derek Jeter,New York,216.0
2012,NL,Andrew McCutchen,Pittsburgh,194.0
2013,AL,Adrián Beltré,Texas,199.0
2013,NL,Matt Carpenter,St. Louis,199.0
2014,AL,Jose Altuve,Houston,225.0
2014,NL,Ben Revere,Philadelphia,184.0
2015,AL,Jose Altuve,Houston,200.0
2015,NL,Dee Strange-Gordon,Miami,205.0
2016,AL,Jose Altuve,Houston,216.0
2016,NL,Jean Segura,Arizona,203.0
2017,AL,Jose Altuve,Houston,204.0
2017,NL,Charlie Blackmon,Colorado,213.0
2018,AL,Whit Merrifield,Kansas City,192.0
2018,NL,Freddie Freeman,Atlanta,191.0
2019,AL,Whit Merrifield,Kansas City,206.0
2019,NL,Ozzie Albies,Atlanta,189.0
2020,AL,José Abreu,Chicago,76.0
2020,NL,Trea Turner,Washington,78.0
2021,AL,Bo Bichette,Toronto,191.0
2021,NL,Trea Turner,Los Angeles,195.0
2022,AL,Bo Bichette,Toronto,189.0
2022,NL,Freddie Freeman,Los Angeles,199.0
2023,AL,Marcus Semien,Texas,185.0
2023,NL,Ronald Acuña Jr.,Atlanta,217.0
2024,AL,Bobby Witt Jr.,Kansas City,211.0
2024,NL,Luis Arraez,Miami,200.0
2025,AL,Aaron Judge,New York,99.0
2025,NL,Trea Turner,Philadelphia,85.0
