Year,League,Player,Team,Total Bases
1996,AL,Alex Rodriguez,Seattle,379.0
1996,NL,Ellis Burks,Colorado,392.0
1997,AL,"Ken Griffey, Jr.",Seattle,393.0
1997,NL,Larry Walker,Colorado,409.0
1998,AL,Albert Belle,Chicago,399.0
1998,NL,Sammy Sosa,Chicago,416.0
1999,AL,Shawn Green,Toronto,361.0
1999,NL,Sammy Sosa,Chicago,397.0
2000,AL,Carlos Delgado,Toronto,378.0
2000,NL,Todd Helton,Colorado,405.0
2001,AL,Alex Rodriguez,Texas,393.0
2001,NL,Sammy Sosa,Chicago,425.0
2002,AL,Alex Rodriguez,Texas,389.0
2002,NL,Vladimir Guerrero,Montreal,364.0
2003,AL,Vernon Wells,Toronto,373.0
2003,NL,Albert Pujols,St. Louis,394.0
2004,AL,Vladimir Guerrero,Anaheim,366.0
2004,NL,Albert Pujols,St. Louis,389.0
2005,AL,Mark Teixeira,Texas,370.0
2005,NL,Derrek Lee,Chicago,393.0
2006,AL,David Ortiz,Boston,355.0
2006,NL,Ryan Howard,Philadelphia,383.0
2007,AL,Alex Rodriguez,New York,376.0
2007,NL,Matt Holliday,Colorado,386.0
2008,AL,Miguel Cabrera,Detroit,331.0
2008,NL,Albert Pujols,St. Louis,342.0
2009,AL,Mark Teixeira,New York,344.0
2009,NL,Albert Pujols,St. Louis,374.0
2010,AL,Jose Bautista,Toronto,351.0
2010,NL,Carlos González,Colorado,351.0
2011,AL,Jacoby Ellsbury,Boston,364.0
2011,NL,Matt Kemp,Los Angeles,353.0
2012,AL,Miguel Cabrera,Detroit,377.0
2012,NL,Ryan Braun,Milwaukee,356.0
2013,AL,Chris Davis,Baltimore,370.0
2013,NL,Paul Goldschmidt,Arizona,332.0
2014,AL,Mike Trout,Los Angeles,338.0
2014,NL,Giancarlo Stanton,Miami,299.0
2015,AL,Josh Donaldson,Toronto,352.0
2015,NL,Nolan Arenado,Colorado,354.0
2016,AL,Mookie Betts,Boston,359.0
2016,NL,Nolan Arenado,Colorado,352.0
2017,AL,José Abreu,Chicago,343.0
2017,NL,Charlie Blackmon,Colorado,387.0
2018,AL,J.D. Martinez,Boston,358.0
2018,NL,Christian Yelich,Milwaukee,343.0
2019,AL,Rafael Devers,Boston,359.0
2019,NL,Cody Bellinger,Los Angeles,351.0
2020,AL,José Abreu,Chicago,148.0
2020,NL,Marcell Ozuna,Atlanta,145.0
2021,AL,Vladimir Guerrero Jr.,Toronto,363.0
2021,NL,Trea Turner,Los Angeles,319.0
2022,AL,Aaron Judge,New York,391.0
2022,NL,Austin Riley,Atlanta,325.0
2023,AL,Shohei Ohtani,Los Angeles,325.0
2023,NL,Ronald Acuña Jr.,Atlanta,383.0
2024,AL,Aaron Judge,New York,392.0
2024,NL,Shohei Ohtani,Los Angeles,411.0
2025,AL,Aaron Judge,New York,198.0
2025,NL,Shohei Ohtani,Los Angeles,179.0
