Year,League,Player,Team,Base on Balls
2015,AL,Jose Bautista,Toronto,110.0
2015,NL,Joey Votto,Cincinnati,143.0
2016,AL,Mike Trout,Los Angeles,116.0
2016,NL,Paul Goldschmidt,Arizona,110.0
2017,AL,Aaron Judge,New York,127.0
2017,NL,Joey Votto,Cincinnati,134.0
2018,AL,Mike Trout,Los Angeles,122.0
2018,NL,Bryce Harper,Washington,130.0
2019,AL,Alex Bregman,Houston,119.0
2019,NL,Rhys Hoskins,Philadelphia,116.0
2020,AL,Carlos Santana,Cleveland,47.0
2020,NL,Bryce Harper,Philadelphia,49.0
2021,AL,Joey Gallo,New York,111.0
2021,NL,Juan Soto,Washington,145.0
2022,AL,Aaron Judge,New York,111.0
2022,NL,Juan Soto,San Diego,135.0
2023,AL,J.P. Crawford,Seattle,94.0
2023,NL,Juan Soto,San Diego,132.0
2024,AL,Aaron Judge,New York,133.0
2024,NL,Kyle Schwarber,Philadelphia,106.0
2025,AL,Rafael Devers,Boston,56.0
2025,NL,Juan Soto,New York,60.0
