Year,League,Player,Team,Triples
1981,NL,Craig Reynolds,Houston,12.0
1982,AL,Willie Wilson,Kansas City,15.0
1982,NL,Dickie Thon,Houston,10.0
1983,AL,Robin Yount,Milwaukee,10.0
1983,NL,Brett Butler,Atlanta,13.0
1984,AL,Dave Collins,Toronto,15.0
1984,NL,Juan Samuel,Philadelphia,19.0
1985,AL,Willie Wilson,Kansas City,21.0
1985,NL,Willie McGee,St. Louis,18.0
1986,AL,Brett Butler,Cleveland,14.0
1986,NL,Mitch Webster,Montreal,13.0
1987,AL,Willie Wilson,Kansas City,15.0
1987,NL,Juan Samuel,Philadelphia,15.0
1988,AL,Harold Reynolds,Seattle,11.0
1988,NL,Andy Van Slyke,Pittsburgh,15.0
1989,AL,Ruben Sierra,Texas,14.0
1989,NL,Robby Thompson,San Francisco,11.0
1990,AL,Tony Fernandez,Toronto,17.0
1990,NL,Mariano Duncan,Cincinnati,11.0
1991,AL,Lance Johnson,Chicago,13.0
1991,NL,Ray Lankford,St. Louis,15.0
1992,AL,Lance Johnson,Chicago,12.0
1992,NL,Deion Sanders,Atlanta,14.0
1993,AL,Lance Johnson,Chicago,14.0
1993,NL,Steve Finley,Houston,13.0
1994,AL,Lance Johnson,Chicago,14.0
1994,NL,Brett Butler,Los Angeles,9.0
1995,AL,Kenny Lofton,Cleveland,13.0
1995,NL,Brett Butler,Los Angeles,9.0
1996,AL,Chuck Knoblauch,Minnesota,14.0
1996,NL,Lance Johnson,New York,21.0
1997,AL,Nomar Garciaparra,Boston,11.0
1997,NL,Delino DeShields,St. Louis,14.0
1998,AL,Jose Offerman,Kansas City,13.0
1998,NL,David Dellucci,Arizona,12.0
1999,AL,Jose Offerman,Boston,11.0
1999,NL,Bobby Abreu,Philadelphia,11.0
2000,AL,Cristian Guzman,Minnesota,20.0
2000,NL,Tony Womack,Arizona,14.0
2001,AL,Cristian Guzman,Minnesota,14.0
2001,NL,Jimmy Rollins,Philadelphia,12.0
2002,AL,Johnny Damon,Boston,11.0
2002,NL,Jimmy Rollins,Philadelphia,10.0
2003,AL,Cristian Guzman,Minnesota,14.0
2003,NL,Steve Finley,Arizona,10.0
2004,AL,Carl Crawford,Tampa Bay,19.0
2004,NL,Juan Pierre,Florida,12.0
2005,AL,Carl Crawford,Tampa Bay,15.0
2005,NL,Jose Reyes,New York,17.0
2006,AL,Carl Crawford,Tampa Bay,16.0
2006,NL,Jose Reyes,New York,17.0
2007,AL,Curtis Granderson,Detroit,23.0
2007,NL,Jimmy Rollins,Philadelphia,20.0
2008,AL,Curtis Granderson,Detroit,13.0
2008,NL,Jose Reyes,New York,19.0
2009,AL,Jacoby Ellsbury,Boston,10.0
2009,NL,Shane Victorino,Philadelphia,13.0
2010,AL,Carl Crawford,Tampa Bay,13.0
2010,NL,Dexter Fowler,Colorado,14.0
2011,AL,Peter Bourjos,Los Angeles,11.0
2011,NL,Jose Reyes,New York,16.0
2012,AL,Austin Jackson,Detroit,10.0
2012,NL,Angel Pagan,San Francisco,15.0
2013,AL,Brett Gardner,New York,10.0
2013,NL,Denard Span,Washington,11.0
2014,AL,Michael Bourn,Cleveland,10.0
2014,NL,Dee Strange-Gordon,Los Angeles,12.0
2015,AL,Eddie Rosario,Minnesota,15.0
2015,NL,David Peralta,Arizona,10.0
2016,AL,Adam Eaton,Chicago,9.0
2016,NL,Brandon Crawford,San Francisco,11.0
2017,AL,Nick Castellanos,Detroit,10.0
2017,NL,Charlie Blackmon,Colorado,14.0
2018,AL,Yolmer Sanchez,Chicago,10.0
2018,NL,Ketel Marte,Arizona,12.0
2019,AL,Hunter Dozier,Kansas City,10.0
2019,NL,Eduardo Escobar,Arizona,10.0
2020,AL,Kyle Tucker,Houston,6.0
2020,NL,Trevor Story,Colorado,4.0
2021,AL,Shohei Ohtani,Los Angeles,8.0
2021,NL,David Peralta,Arizona,8.0
2022,AL,Amed Rosario,Cleveland,9.0
2022,NL,Gavin Lux,Los Angeles,7.0
2023,AL,Bobby Witt Jr.,Kansas City,11.0
2023,NL,Corbin Carroll,Arizona,10.0
2024,AL,Jarren Duran,Boston,14.0
2024,NL,Corbin Carroll,Arizona,14.0
2025,AL,Jarren Duran,Boston,7.0
2025,NL,Corbin Carroll,Arizona,8.0
