Year,League,Player,Team,Stolen Bases
2001,AL,Ichiro Suzuki,Seattle,56
2001,NL,Juan Pierre,Colorado,46
2002,AL,Alfonso Soriano,New York,41
2002,NL,Luis Castillo,Florida,48
2003,AL,Carl Crawford,Tampa Bay,55
2003,NL,Juan Pierre,Florida,65
2004,AL,Carl Crawford,Tampa Bay,59
2004,NL,Scott Podsednik,Milwaukee,70
2005,AL,Chone Figgins,Los Angeles,62
2005,NL,Jose Reyes,New York,60
2006,AL,Carl Crawford,Tampa Bay,58
2006,NL,Jose Reyes,New York,64
2007,AL,Carl Crawford,Tampa Bay,50
2007,NL,Jose Reyes,New York,78
2008,AL,Jacoby Ellsbury,Boston,50
2008,NL,Willy Taveras,Colorado,68
2009,AL,Jacoby Ellsbury,Boston,70
2009,NL,Michael Bourn,Houston,61
2010,AL,Juan Pierre,Chicago,68
2010,NL,Michael Bourn,Houston,52
2011,AL,Coco Crisp,Oakland,49
2011,NL,Michael Bourn,Atlanta,61
2012,AL,Mike Trout,Los Angeles,49
2012,NL,Everth Cabrera,San Diego,44
2013,AL,Jacoby Ellsbury,Boston,52
2013,NL,Eric Young Jr.,Colorado,46
2014,AL,Jose Altuve,Houston,56
2014,NL,Dee Strange-Gordon,Los Angeles,64
2015,AL,Jose Altuve,Houston,38
2015,NL,Dee Strange-Gordon,Miami,58
2016,AL,Rajai Davis,Cleveland,43
2016,NL,Jonathan Villar,Milwaukee,62
2017,AL,Whit Merrifield,Kansas City,34
2017,NL,Dee Strange-Gordon,Miami,60
2018,AL,Whit Merrifield,Kansas City,45
2018,NL,Trea Turner,Washington,43
2019,AL,Mallex Smith,Seattle,46
2019,NL,Ronald Acuña Jr.,Atlanta,37
2020,AL,Adalberto Mondesi,Kansas City,24
2020,NL,Trevor Story,Colorado,15
2021,AL,Whit Merrifield,Kansas City,40
2021,NL,Trea Turner,Los Angeles,32
2022,AL,Jorge Mateo,Baltimore,35
2022,NL,Jon Berti,Miami,41
2023,AL,Esteury Ruiz,Oakland,67
2023,NL,Ronald Acuña Jr.,Atlanta,73
2024,AL,José Caballero,Tampa Bay,44
2024,NL,Elly De La Cruz,Cincinnati,67
2025,AL,José Caballero,Tampa Bay,25
2025,NL,Oneil Cruz,Pittsburgh,25
Year,AL,American League,Team(s),Stolen
Year,NL,National League,Team(s),Stolen
